1772,FC Augsburg
1902,1899 Hoffenheim
387,1. FC Köln
1755,VfL Osnabrück
1741,FC Erzgebirge Aue
818,Alemannia Aachen
1744,OFC Kickers 1901
163,1. FC Kaiserslautern
810,1. FSV Mainz 05
2111,SV Wehen Wiesbaden
1757,FC Carl Zeiss Jena
165,TSV München 1860
812,SpVgg Greuther Fürth
1743,SC Paderborn
160,SC Freiburg
680,FC St. Pauli
683,Borussia Mönchengladbach
2012,TuS Koblenz
