131897	2012	12888	21104	2
131897	2012	21104	20779	6
131897	810	20486	44739	1
131897	2012	17561	17561	1
131897	810	41452	18196	11
131897	810	6627	20378	1
131897	810	18193	18257	1
131897	2012	5064	8987	1
131897	2012	40430	9895	3
131897	2012	17839	17561	9
131897	2012	9895	26741	3
131897	810	19490	19490	1
131897	2012	5064	42663	2
131897	2012	14056	17839	4
131897	810	44739	20378	2
131897	2012	21104	8987	4
131897	2012	17839	37187	2
131897	2012	37583	37583	1
131897	2012	14056	40430	2
131897	2012	37187	37583	1
131897	810	20486	20379	1
131897	810	20378	20379	2
131897	810	44739	11827	1
131897	2012	5064	37187	1
131897	2012	20779	12888	11
131897	810	20379	44739	1
131897	2012	42663	37187	3
131897	2012	40430	12888	2
131897	810	18196	20378	1
131897	2012	17561	8987	2
131897	810	44739	20379	3
131897	2012	20779	42663	1
131897	810	19507	44739	1
131897	2012	14056	20779	1
131897	2012	5064	9895	1
131897	810	41452	6627	2
131897	2012	20779	40430	2
131897	810	19490	20856	10
131897	810	44739	19490	4
131897	2012	26741	9895	2
131897	810	20856	41452	5
131897	2012	8987	37583	1
131897	810	18257	20856	4
131897	810	20379	11827	3
131897	2012	40430	17839	10
131897	2012	20779	26741	2
131897	2012	9895	8987	3
131897	2012	17561	21104	5
131897	810	6627	41452	2
131897	2012	5064	37583	1
131897	2012	17839	40430	7
131897	810	18257	20379	1
131897	2012	37187	26741	1
131897	2012	12888	5064	3
131897	810	6627	11827	5
131897	2012	40430	8987	4
131897	810	18257	6627	6
131897	810	18257	20486	2
131897	2012	12888	17839	3
131897	2012	17839	21104	4
131897	810	20379	20856	3
131897	2012	21104	37187	2
131897	810	19490	6627	1
131897	810	20379	41452	4
131897	2012	17561	9895	5
131897	810	18193	6627	1
131897	2012	26741	17839	4
131897	2012	14056	42663	1
131897	810	20486	18196	1
131897	810	41452	19507	1
131897	2012	9895	17839	3
131897	810	19490	41452	3
131897	810	18257	19507	1
131897	810	18193	41452	2
131897	810	41452	18193	2
131897	810	18193	18196	4
131897	2012	17839	14056	1
131897	2012	14056	21104	1
131897	810	20856	6627	4
131897	810	20379	19490	5
131897	2012	26741	40430	8
131897	810	18257	18196	2
131897	810	18196	44739	2
131897	810	18196	6627	1
131897	2012	42663	20779	1
131897	810	41452	18257	7
131897	810	18196	19490	11
131897	810	18196	11827	2
